trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TRIP_00001_99001,00:05:00,00:05:00,STN_TNA,1,0,0
TRIP_00001_99001,00:10:00,00:10:00,STN_DIGH,2,0,0
TRIP_00001_99001,00:13:00,00:13:00,STN_AIRL,3,0,0
TRIP_00001_99001,00:16:00,00:16:00,STN_RABE,4,0,0
TRIP_00001_99001,00:19:00,00:19:00,STN_GNSL,5,0,0
TRIP_00001_99001,00:22:00,00:22:00,STN_KPHN,6,0,0
TRIP_00001_99001,00:26:00,00:26:00,STN_TUH,7,0,0
TRIP_00001_99001,00:30:00,00:30:00,STN_JNJ,8,0,0
TRIP_00001_99001,00:34:00,00:34:00,STN_NEU,9,0,0
TRIP_00001_99001,00:38:00,00:38:00,STN_SWDV,10,0,0
TRIP_00001_99001,00:42:00,00:42:00,STN_BEPR,11,0,0
TRIP_00001_99001,00:46:00,00:46:00,STN_KHAG,12,0,0
TRIP_00001_99001,00:49:00,00:49:00,STN_MANR,13,0,0
TRIP_00001_99001,00:52:00,00:52:00,STN_KNDS,14,0,0
TRIP_00001_99001,00:57:00,00:57:00,STN_PNVL,15,0,0
TRIP_00002_99003,05:12:00,05:12:00,STN_TNA,1,0,0
TRIP_00002_99003,05:17:00,05:17:00,STN_DIGH,2,0,0
TRIP_00002_99003,05:20:00,05:20:00,STN_AIRL,3,0,0
TRIP_00002_99003,05:23:00,05:23:00,STN_RABE,4,0,0
TRIP_00002_99003,05:26:00,05:26:00,STN_GNSL,5,0,0
TRIP_00002_99003,05:29:00,05:29:00,STN_KPHN,6,0,0
TRIP_00002_99003,05:33:00,05:33:00,STN_TUH,7,0,0
TRIP_00002_99003,05:37:00,05:37:00,STN_JNJ,8,0,0
TRIP_00002_99003,05:41:00,05:41:00,STN_NEU,9,0,0
TRIP_00002_99003,05:45:00,05:45:00,STN_SWDV,10,0,0
TRIP_00002_99003,05:49:00,05:49:00,STN_BEPR,11,0,0
TRIP_00002_99003,05:53:00,05:53:00,STN_KHAG,12,0,0
TRIP_00002_99003,05:56:00,05:56:00,STN_MANR,13,0,0
TRIP_00002_99003,05:59:00,05:59:00,STN_KNDS,14,0,0
TRIP_00002_99003,06:04:00,06:04:00,STN_PNVL,15,0,0
TRIP_00003_99401,05:25:00,05:25:00,STN_TNA,1,0,0
TRIP_00003_99401,05:30:00,05:30:00,STN_DIGH,2,0,0
TRIP_00003_99401,05:33:00,05:33:00,STN_AIRL,3,0,0
TRIP_00003_99401,05:36:00,05:36:00,STN_RABE,4,0,0
TRIP_00003_99401,05:39:00,05:39:00,STN_GNSL,5,0,0
TRIP_00003_99401,05:42:00,05:42:00,STN_KPHN,6,0,0
TRIP_00003_99401,05:46:00,05:46:00,STN_TUH,7,0,0
TRIP_00003_99401,05:50:00,05:50:00,STN_SNCR,8,0,0
TRIP_00003_99401,05:54:00,05:54:00,STN_VSH,9,0,0
TRIP_00004_99201,05:40:00,05:40:00,STN_TNA,1,0,0
TRIP_00004_99201,05:45:00,05:45:00,STN_DIGH,2,0,0
TRIP_00004_99201,05:48:00,05:48:00,STN_AIRL,3,0,0
TRIP_00004_99201,05:51:00,05:51:00,STN_RABE,4,0,0
TRIP_00004_99201,05:54:00,05:54:00,STN_GNSL,5,0,0
TRIP_00004_99201,05:57:00,05:57:00,STN_KPHN,6,0,0
TRIP_00004_99201,06:01:00,06:01:00,STN_TUH,7,0,0
TRIP_00004_99201,06:05:00,06:05:00,STN_JNJ,8,0,0
TRIP_00004_99201,06:10:00,06:10:00,STN_NEU,9,0,0
TRIP_00005_99403,05:53:00,05:53:00,STN_TNA,1,0,0
TRIP_00005_99403,05:58:00,05:58:00,STN_DIGH,2,0,0
TRIP_00005_99403,06:01:00,06:01:00,STN_AIRL,3,0,0
TRIP_00005_99403,06:04:00,06:04:00,STN_RABE,4,0,0
TRIP_00005_99403,06:07:00,06:07:00,STN_GNSL,5,0,0
TRIP_00005_99403,06:10:00,06:10:00,STN_KPHN,6,0,0
TRIP_00005_99403,06:14:00,06:14:00,STN_TUH,7,0,0
TRIP_00005_99403,06:18:00,06:18:00,STN_SNCR,8,0,0
TRIP_00005_99403,06:22:00,06:22:00,STN_VSH,9,0,0
TRIP_00006_99405,06:09:00,06:09:00,STN_TNA,1,0,0
TRIP_00006_99405,06:14:00,06:14:00,STN_DIGH,2,0,0
TRIP_00006_99405,06:17:00,06:17:00,STN_AIRL,3,0,0
TRIP_00006_99405,06:20:00,06:20:00,STN_RABE,4,0,0
TRIP_00006_99405,06:23:00,06:23:00,STN_GNSL,5,0,0
TRIP_00006_99405,06:26:00,06:26:00,STN_KPHN,6,0,0
TRIP_00006_99405,06:30:00,06:30:00,STN_TUH,7,0,0
TRIP_00006_99405,06:34:00,06:34:00,STN_SNCR,8,0,0
TRIP_00006_99405,06:38:00,06:38:00,STN_VSH,9,0,0
TRIP_00007_99005,06:20:00,06:20:00,STN_TNA,1,0,0
TRIP_00007_99005,06:25:00,06:25:00,STN_DIGH,2,0,0
TRIP_00007_99005,06:28:00,06:28:00,STN_AIRL,3,0,0
TRIP_00007_99005,06:31:00,06:31:00,STN_RABE,4,0,0
TRIP_00007_99005,06:34:00,06:34:00,STN_GNSL,5,0,0
TRIP_00007_99005,06:37:00,06:37:00,STN_KPHN,6,0,0
TRIP_00007_99005,06:41:00,06:41:00,STN_TUH,7,0,0
TRIP_00007_99005,06:45:00,06:45:00,STN_JNJ,8,0,0
TRIP_00007_99005,06:49:00,06:49:00,STN_NEU,9,0,0
TRIP_00007_99005,06:53:00,06:53:00,STN_SWDV,10,0,0
TRIP_00007_99005,06:57:00,06:57:00,STN_BEPR,11,0,0
TRIP_00007_99005,07:01:00,07:01:00,STN_KHAG,12,0,0
TRIP_00007_99005,07:04:00,07:04:00,STN_MANR,13,0,0
TRIP_00007_99005,07:07:00,07:07:00,STN_KNDS,14,0,0
TRIP_00007_99005,07:12:00,07:12:00,STN_PNVL,15,0,0
TRIP_00008_99203,06:27:00,06:27:00,STN_TNA,1,0,0
TRIP_00008_99203,06:32:00,06:32:00,STN_DIGH,2,0,0
TRIP_00008_99203,06:35:00,06:35:00,STN_AIRL,3,0,0
TRIP_00008_99203,06:38:00,06:38:00,STN_RABE,4,0,0
TRIP_00008_99203,06:41:00,06:41:00,STN_GNSL,5,0,0
TRIP_00008_99203,06:44:00,06:44:00,STN_KPHN,6,0,0
TRIP_00008_99203,06:48:00,06:48:00,STN_TUH,7,0,0
TRIP_00008_99203,06:52:00,06:52:00,STN_JNJ,8,0,0
TRIP_00008_99203,06:57:00,06:57:00,STN_NEU,9,0,0
TRIP_00009_99407,06:39:00,06:39:00,STN_TNA,1,0,0
TRIP_00009_99407,06:44:00,06:44:00,STN_DIGH,2,0,0
TRIP_00009_99407,06:47:00,06:47:00,STN_AIRL,3,0,0
TRIP_00009_99407,06:50:00,06:50:00,STN_RABE,4,0,0
TRIP_00009_99407,06:53:00,06:53:00,STN_GNSL,5,0,0
TRIP_00009_99407,06:56:00,06:56:00,STN_KPHN,6,0,0
TRIP_00009_99407,07:00:00,07:00:00,STN_TUH,7,0,0
TRIP_00009_99407,07:04:00,07:04:00,STN_SNCR,8,0,0
TRIP_00009_99407,07:08:00,07:08:00,STN_VSH,9,0,0
