stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
STN_ABH,Ambernath,19.1994,73.1897,0,0
STN_ABY,Ambivli,19.2736,73.1678,0,0
STN_ADH,Andheri,19.1197,72.8464,0,0
STN_AIRL,Airoli,19.1558,72.9972,0,0
STN_ASO,Asangaon,19.4414,73.3082,0,0
STN_ATG,Atgaon,19.5161,73.3442,0,0
STN_BA,Bandra,19.0544,72.8405,0,0
STN_BCL,Mumbai Central,18.9698,72.8194,0,0
STN_BEPR,Belapur CBD,19.0186,73.0397,0,0
STN_BMDR,Bamandongri,18.9806,73.0136,0,0
STN_BND,Bhandup,19.1437,72.9372,0,0
STN_BOR,Boisar,19.8009,72.7594,0,0
STN_BSR,Vasai Road,19.3812,72.8397,0,0
STN_BUD,Badlapur,19.1558,73.2322,0,0
STN_BVI,Borivali,19.2294,72.8574,0,0
STN_BVS,Bhivpuri Road,18.9722,73.3325,0,0
STN_BY,Byculla,18.9768,72.8336,0,0
STN_BYR,Bhayandar,19.3121,72.8528,0,0
STN_CCG,Churchgate,18.9352,72.8277,0,0
STN_CHF,Chunabhatti,19.0494,72.8719,0,0
STN_CHG,Chinchpokli,18.9904,72.8329,0,0
STN_CLA,Kurla,19.0664,72.8797,0,0
STN_CMBR,Chembur,19.0619,72.9008,0,0
STN_CRD,Currey Road,18.9961,72.8324,0,0
STN_CSMT,Mumbai CSMT,18.94,72.8353,0,0
STN_CTGN,Cotton Green,18.9867,72.8475,0,0
STN_CYR,Charni Road,18.9519,72.8188,0,0
STN_DDR_WR,Dadar (WR),19.0178,72.8431,0,0
STN_DI,Dombivli,19.2184,73.0867,0,0
STN_DIC,Dahisar,19.2501,72.8593,0,0
STN_DIGH,Digha Gaon,19.1678,72.9936,0,0
STN_DIVA,Diva Junction,19.1887,73.0426,0,0
STN_DKRD,Dockyard Road,18.9669,72.8427,0,0
STN_DLV,Dolavli,18.8286,73.2842,0,0
STN_DRD,Dahanu Road,19.9722,72.7422,0,0
STN_DRGI,Dronagiri,18.8958,72.9514,0,0
STN_GC,Ghatkopar,19.0864,72.9081,0,0
STN_GMN,Goregaon,19.1648,72.8492,0,0
STN_GNSL,Ghansoli,19.1178,73.0089,0,0
STN_GTBN,GTB Nagar,19.0306,72.8647,0,0
STN_GTR,Grant Road,18.9632,72.8159,0,0
STN_GV,Govandi,19.0553,72.915,0,0
STN_JNJ,Juinagar,19.0558,73.0189,0,0
STN_JOS,Jogeshwari,19.1362,72.849,0,0
STN_KARP,Kharkopar,18.9619,73.0069,0,0
